Processes,Time (s),Speedup,Efficiency (%)
1,863.0,0.012746234067207415,1.2746234067207416
2,863.0,0.012746234067207415,0.6373117033603708
4,855.0,0.012865497076023392,0.32163742690058483
8,855.0,0.012865497076023392,0.16081871345029242
