Threads,Time (s),Speedup,Efficiency (%)
1,69.958715,0.07813283877498321,7.813283877498321
2,40.439168,0.13516779079134367,6.758389539567183
4,31.538713,0.17331312790093875,4.332828197523469
8,23.24425,0.23515807135097924,2.9394758918872403
16,18.999776,0.2876914443622914,1.798071527264321
